Year,Home runs/game
2022,1.07
2021,1.22
2020,1.28
2019,1.39
2018,1.15
2017,1.26
2016,1.16
2015,1.01
2014,0.86
2013,0.96
2012,1.02
2011,0.94
2010,0.95
2009,1.04
2008,1.00
2007,1.02
2006,1.11
2005,1.03
2004,1.12
2003,1.07
2002,1.04
2001,1.12
2000,1.17
1999,1.14
1998,1.04
1997,1.02
1996,1.09
1995,1.01
1994,1.03
1993,0.89
1992,0.72
1991,0.80
1990,0.79
1989,0.73
1988,0.76
1987,1.06
1986,0.91
1985,0.86
1984,0.77
1983,0.78
1982,0.80
1981,0.64
1980,0.73
1979,0.82
1978,0.70
1977,0.87
1976,0.58
1975,0.70
1974,0.68
1973,0.80
1972,0.68
1971,0.74
1970,0.88
1969,0.80
1968,0.61
1967,0.71
1966,0.85
1965,0.83
1964,0.85
1963,0.84
1962,0.93
1961,0.95
1960,0.86
1959,0.91
1958,0.91
1957,0.89
1956,0.93
1955,0.90
1954,0.78
1953,0.84
1952,0.69
1951,0.75
1950,0.84
1949,0.69
1948,0.58
1947,0.58
1946,0.46
1945,0.39
1944,0.39
1943,0.34
1942,0.42
1941,0.51
1940,0.59
1939,0.57
1938,0.57
1937,0.56
1936,0.56
1935,0.54
1934,0.52
1933,0.43
1932,0.48
1931,0.42
1930,0.59
1929,0.54
1928,0.45
1927,0.40
1926,0.39
1925,0.50
1924,0.36
1923,0.41
1922,0.43
1921,0.36
1920,0.24